streamer_name,game,viewers,start_time,user_login,stream_id,language,title,tags,duration,total_game_viewers,active_streams,avg_viewers_per_game
taybisox,Just Chatting,72,2025-03-20T16:10:23Z,taybisox,319354193149,ru,"ДОБРЫЙ АУК НА ФИЛЬМ/ANIME (без правил, 1 правило до 2 ух часов)","Русский, девушка, общение, girl, Cosplay, анимешница",195.0,55380,2366,23.406593406593405
小熙肉絲,Just Chatting,99,2025-03-20T17:47:15Z,sophroseeeeee,315130774264,zh,3/21 救命 圍巾批發,"中文, 奶茶千杯不醉, 香水收藏家, kpop, 年度熬夜亞軍, 儀式感",98.0,55380,2366,23.406593406593405
Felikah,Just Chatting,97,2025-03-20T18:47:30Z,felikah,318151777788,de,🔴 PUMMEL PARTY ACTION 🔴 ELDEN RING 🔴 GODRICK DOWNFALL 🔴 !nyfter 🔴,"Deutsch, gaming, GHG, 7tv",38.0,55380,2366,23.406593406593405
GetOnMyLvLTV,Just Chatting,96,2025-03-19T12:06:37Z,getonmylvltv,317412970361,de,24.07.2020 - Numero Uno | 24/7 alte Streams & Videos !next,Deutsch,1879.0,55380,2366,23.406593406593405
LaserLent,Just Chatting,100,2025-03-20T17:31:13Z,laserlent,318146482172,es,"DALAS se VUELVE TOTALMETE LOCO, FRANK CUESTA EL MITOMANO.mp4","Español, videojuegos, videojuegos, actualidad",114.0,55380,2366,23.406593406593405
kitnip_,Just Chatting,100,2025-03-20T17:16:08Z,kitnip_,317471611385,en,first ever IRL strim | !kofi !socials,"Girl, English, Swedish, Chatty",129.0,55380,2366,23.406593406593405
niconing,Just Chatting,100,2025-03-20T16:27:49Z,niconing,318143839868,ko,[replay/VOD] pretty nico🤍 💗 (eng/tw),한국어,177.0,55380,2366,23.406593406593405
bioyundan,Just Chatting,100,2025-03-20T04:17:47Z,bioyundan,317448700921,tr,Videolarla championstv! 7/24 bant yayın...,"türkçe, Türkçe",907.0,55380,2366,23.406593406593405
Wudjer,Just Chatting,100,2025-03-20T12:38:51Z,wudjer,317461084153,ru,🔴 Смотрим какой-то фильм . Начало в 20:00 → Розыгрыш в !тг,"Русский, DropsEnable, Pvp, Красивыймужчина, гений, Киберспортсмем, Сильнейший, вайб, позитивныйвайб",406.0,55380,2366,23.406593406593405
TuikassZ,Just Chatting,100,2025-03-20T14:31:03Z,tuikassz,314524179444,pt,LIVE BOA COLA,Português,294.0,55380,2366,23.406593406593405
TanyaBelkova,Just Chatting,99,2025-03-20T17:59:44Z,tanyabelkova,318148353660,ru,стримик для такого как ты пупсика,"Русский, ТаняБелкова, БезСпойлеров, БЕЗСОВЕТОВ, НЕПОМОЛЧУ, ГРОМЧЕНЕСДЕЛАЮ, ПИПИПУПИПУ, неумеюиграть",86.0,55380,2366,23.406593406593405
OstorozhnoModern,Just Chatting,98,2025-03-19T11:23:17Z,ostorozhnomodern,317411318649,ru,"Сериал: Осторожно, Модерн! 2 (HD). Все серии по порядку. Трансляция 24/7. Комедия для всей семьи.","ОсторожноМодерн, ОсторожноМодерн2, Русский, юмор, комедия, сериал, дмитрийнагиев, сергейрост",1922.0,55380,2366,23.406593406593405
